rev_id,sentiment,sentiment_score
325467263,negative,-0.723434
325489890,negative,-0.973351
325491573,negative,-0.951228
325491602,negative,-0.909637
325493177,negative,-0.861186
325498535,positive,0.267592
325517182,neutral,0.0
325532635,negative,-0.806732
325532986,neutral,0.0
325533269,positive,0.683483
325536467,negative,-0.741679
325542155,negative,-0.334751
325545303,negative,-0.766499
325547185,negative,-0.82559
325547513,negative,-0.656526
325548088,negative,-0.764552
325549691,negative,-0.973973
325561505,negative,-0.99997
325562439,neutral,0.0
325565490,negative,-0.682557
325579042,negative,-1.0
325579899,negative,-0.937324
325583540,negative,-0.783392
325599961,neutral,0.0
325650826,positive,0.957754
325651416,negative,-0.371225
325668254,negative,-0.824489
327193918,negative,-0.638014
327202900,negative,-0.945237
327203503,neutral,0.0
327224062,negative,-0.976314
327245512,neutral,0.0
327253463,positive,0.310763
327253766,neutral,0.0
327253975,neutral,0.0
327259350,negative,-0.706771
327294643,neutral,0.0
327296991,neutral,0.0
327327383,neutral,0.0
327333350,negative,-0.579284
327340981,negative,-0.572576
327369450,positive,0.547775
327377828,negative,-0.9611
327388691,neutral,0.0
327393763,negative,-0.723121
327398229,negative,-0.955455
327440648,positive,0.44086
327441725,neutral,0.0
327490581,positive,0.311395
327496711,positive,0.765915
327497361,negative,-0.577662
327537566,negative,-0.733651
531662697,negative,-0.811919
531662936,negative,-0.62353
531663143,negative,-0.812962
531673709,negative,-0.820892
531679558,positive,0.73807
531680437,positive,0.526024
531694599,positive,0.397676
531728877,positive,0.345047
531741279,neutral,0.0
531760080,positive,0.552091
531764552,positive,0.879139
531768864,positive,0.476419
531782567,neutral,0.0
531814806,positive,0.556577
531829534,negative,-0.467327
531843946,negative,-0.850716
531932310,negative,-0.404909
531932812,negative,-0.491058
531933386,negative,-0.426396
531933853,negative,-0.325668
531949654,neutral,0.0
532028854,negative,-0.950553
532032450,negative,-0.4343
532032735,neutral,0.0
532035771,negative,-0.791016
532094087,negative,-0.787347
532137195,negative,-0.983167
532180103,negative,-0.814414
532187232,negative,-0.837437
532189234,negative,-0.652791
532198673,negative,-0.838285
532200904,positive,0.785411
532201841,positive,0.424632
532206716,negative,-0.633728
532210269,negative,-0.517424
327543938,neutral,0.0
327544072,negative,-0.527675
329034709,positive,0.93189
329042319,negative,-0.970909
314772031,negative,-0.792732
314776264,negative,-0.863812
314779088,negative,-0.931855
314786617,negative,-0.993305
314814034,negative,-0.613485
314814790,negative,-0.343022
314823439,negative,-0.966102
314825991,negative,-0.932156
317322657,negative,-0.319026
317323103,negative,-0.57393
317323410,negative,-0.899978
317323671,negative,-0.926106
317328307,negative,-0.869277
317357287,negative,-0.972775
317359519,negative,-0.999737
317373775,negative,-0.998022
317387155,negative,-0.860602
317387656,positive,0.273753
317410429,negative,-0.763019
317412323,neutral,0.0
317412653,neutral,0.0
317412943,neutral,0.0
317415865,negative,-0.652741
317432291,neutral,0.0
317435199,neutral,0.0
317438296,neutral,0.0
317440242,negative,-0.714825
317440385,negative,-0.773433
317440417,negative,-0.773433
317440474,negative,-0.527276
317442539,neutral,0.0
317442612,neutral,0.0
317445356,neutral,0.0
317445498,neutral,0.0
317452907,neutral,0.0
317467108,negative,-0.926559
317474783,negative,-0.768653
317494583,negative,-0.750348
317541039,positive,0.4421
317545935,negative,-0.790287
317570249,negative,-0.952672
317570636,negative,-0.592085
317572325,negative,-0.941526
317572425,negative,-0.649273
317576436,positive,0.928766
317577697,positive,0.519108
317587033,negative,-0.658949
317609063,negative,-0.561348
317618034,neutral,0.0
317639327,negative,-0.885711
317639900,positive,0.809289
317666347,negative,-0.410059
317684867,neutral,0.0
317690101,neutral,0.0
317702496,neutral,0.0
317704776,negative,-0.993776
317714238,negative,-0.725257
317715166,negative,-0.635246
317730188,negative,-0.796723
317741362,neutral,0.0
317742329,positive,0.352011
317748892,negative,-0.986009
534905405,negative,-0.666631
534912128,negative,-0.299234
534917339,positive,0.79934
534921976,neutral,0.0
534928723,negative,-0.899956
534937833,negative,-0.687855
534937987,negative,-0.820101
534942060,negative,-0.629465
534944955,negative,-0.795716
534971642,positive,0.631116
535062259,negative,-0.704405
535087271,negative,-0.760947
535094434,negative,-0.721622
535110541,negative,-0.955301
535110876,negative,-0.726798
535111206,negative,-0.785916
535111548,negative,-0.981561
535113161,negative,-0.660326
535113254,negative,-0.922123
535178695,positive,0.998504
535179437,negative,-0.773588
535190290,neutral,0.0
535192617,negative,-0.871243
535205028,negative,-0.394484
535205360,negative,-0.965264
535208313,negative,-0.965009
535212446,negative,-0.644621
535220605,negative,-0.775272
535227453,neutral,0.0
535227563,negative,-0.576502
538278952,negative,-0.993904
22998866,negative,-0.976095
23020489,negative,-0.997293
23020659,negative,-0.87038
23020982,negative,-0.990449
23033934,neutral,0.0
23050916,neutral,0.0
23060579,negative,-0.552632
23067926,negative,-0.89158
23074449,negative,-0.806365
23074810,negative,-0.82107
23094110,neutral,0.0
23129208,negative,-0.616574
23139485,negative,-0.585155
23139710,negative,-0.916097
24053937,negative,-0.732771
24055027,negative,-0.952574
24055338,neutral,0.0
24057555,negative,-0.870359
24060891,neutral,0.0
24084064,negative,-0.940008
24084447,positive,0.985326
24084663,negative,-0.668999
24087967,negative,-0.664734
24092108,negative,-0.676047
24093793,negative,-0.821102
24105877,negative,-0.891729
24109937,negative,-0.960355
24118417,negative,-0.853459
599234846,neutral,0.0
599234984,neutral,0.0
599235811,negative,-0.890674
599236127,negative,-0.936057
599236479,negative,-0.715093
599236628,negative,-0.895351
599238976,negative,-0.96608
599259430,negative,-0.637076
599265080,negative,-0.868347
599322345,positive,0.690252
599345736,positive,0.342658
599348525,neutral,0.0
599362709,negative,-0.732928
599378849,negative,-0.979761
599384600,negative,-0.49982
599396066,negative,-0.811141
599398820,neutral,0.0
599404704,negative,-0.588116
599415672,negative,-0.549588
599419939,negative,-0.894166
599446863,negative,-0.969337
599447428,negative,-0.806455
599447570,negative,-0.975702
599465922,negative,-0.922471
599468487,neutral,0.0
599488508,neutral,0.0
599498260,negative,-0.808636
599499334,negative,-0.936756
599516594,neutral,0.0
599518102,neutral,0.0
599518744,neutral,0.0
599519230,negative,-0.594458
599519857,negative,-0.995289
599522763,negative,-0.472965
599523388,negative,-0.742752
599550555,negative,-0.744139
601998976,negative,-0.594171
602012935,negative,-0.85127
602014122,negative,-0.78843
602019954,negative,-0.592237
602026049,neutral,0.0
602028909,negative,-0.871845
602029324,negative,-0.551237
602056342,negative,-0.974123
602057669,neutral,0.0
602061653,negative,-0.990702
317749127,negative,-0.924661
319634679,negative,-0.819079
